Rok;Počet včelstev;Průměrný výnos medu (kg/včelstvo);Celkový výnos medu (tuny)
1993;685321;11.11;7616.60
1994;630026;12.3;7750
1995;622336;11.68;7266.80
1996;537136;9.91;5321.60
1997;510363;9;4532
1998;542161;13.8;7500
1999;564981;13;7318
2000;534814;13.89;7500
2001;537266;11.63;6300
2002;517743;10.94;5883.10
2003;477743;13.19;6303.20
2004;556853;13.9;7738
2005;551681;15.17;8371
2006;525560;17.22;9051
2007;520084;16.28;8466.30
2008;461086;13.18;6078.10
2009;497946;13.84;6891.60
2010;528186;14.11;7454.60
2011;569419;19.99;11301.60
2012;540705;13.56;7331.90
2013;553040;14.58;8063.00
2014;603392;11.87;7162.50
2015;596313;15.48;9228.10
2016;662253;15.27;10113.34
2017;635824;14.69;9339.10
2018;629521;14.24;8966.20
2019;645158;12.8;8259.35
2020;641734;7.79;4997.39
