Rok;Počet včelařů;Počet včelstev
1990;79797;807429
1991;78456;766466
1992;76314;729758
1993;73401;685324
1994;70534;630026
1995;65805;622336
1996;61428;537136
1997;58647;510363
1998;57280;542161
1999;57622;564981
2000;55245;534814
2001;53315;537226
2002;53315;517743
2003;50940;477743
2004;50109;556853
2005;49824;551681
2006;48678;525560
2007;47966;520084
2008;45604;461086
2009;46033;497946
2010;46573;528186
2011;48057;565419
2012;48132;540705
2013;50471;553040
2014;53447;603392
2015;54416;596313
2016;56921;662253
2017;57380;649530
2018;58009;650622
2019;62870;684965
2020;64105;694086
